２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0334702|Ａ|ダカ゜　ナニョー　オバーサンカ゜　ナカヤノ　オバーサンカ゜　アノー　カミケ゜ートノ[17]　オバーサンウォ　マメナカッテ　キクカ゜　マメナカッチューデ　マメニャー　ネーッテ　ユッテ　クリョーッテ　ユヤー　コナイダ　アノ　ウイッツァニモ　ダイテ　ソンチョーサンニエ　マメカイッチューデ　コンダ　ボタモチョー　モッテ　イッペン　コイエッタラ　ヤスイコトー　イエッテ　アノシトモ　タント　チカ゜ワット　ガッコイ　イッタデネー|だけど　何を　お婆さんが　ナカヤの　お婆さんが　あのう　カミガイトの　おばあさんを　元気かいって　聞くが　元気かっていうから　元気〔健康〕では　ないって　言って　くれって　言えば　このあいだ　あの　宇市さん〔村長〕にも　出して　村長さんにね　元気かいって言うから　今度は　ボタ餅を　持って　一度　来いよって言ったら　お安いご用だ　って〔言った〕　あの人も　〔年が〕沢山　違わずに　学校へ　行ったからね
0334709|Ｃ|ゲンキ　エージャナイカ　アノ　オバサンワネー　ハツミワ　ゲンキナ　ワシノ　ニーサン｛ナン｝　ダメナゼ|元気　良いじゃないか　あの　おばさんはね　ハツミは　元気だ。私の　兄さん　駄目だよ
0334711|Ｂ|｛イクラダカ｝　コンダ　サキョー　ヤメツラ　ネコンダカ|今度は　酒を　やめただろう　寝こんだか
0334712|Ｃ|サキャー　ヤメチャッタッテ　ヤメチャッタカ゜　ナンショ　シャベルコトーネー　アノー　ハナスコトー　キライナ　ニーサンダモンダデヨー　ナンショ　ハナショー　センチューニ　タント　ゴハン　タベルッテ　ゴハンモ　タベルシネ|酒は　やめちゃったって　やめちゃったが　とにかく　しゃべることをね　あの　話すことを　きらいな　兄さんだからね　とにかく　話を　しないっていうのに　沢山　ごはん　食べるって　ごはんも　食べるしね
0334803|Ａ|ダレネ|誰が？
0334804|Ｃ|アノ　ニー|あの　兄さん…
0334805|Ａ|ヨクナッタッテカイ|よくなったってかい
0334806|Ｃ|ヨクナッテ　キタモンデネー|よくなって　来たのでね
0334807|Ａ|ハー　ウレシーネー|はあ　うれしいね
0334808|Ｃ|オカケ゜デ　ヨクナッタッテ　キトルヨ　…　コナイダモ　イッタラ　タイカ゜イ　イチンチ　アソンダ　アノ　オキトッタッチュッタ　マサヤオジカ゜　アソビー　イッテ　クレタッデ|おかげで　良くなったって〔言って〕　来ているよ　こないだも　行ったら　たいがい　一日　遊んだ　あの　起きていたって言った　政弥おじさんが　遊びに　行って　くれたから
0334811|Ａ|ヨカッタネー|よかったね
0334812|Ｂ|アノ　タイカクジャー　モー　アノ　サケデ　ナニセリャー　ソイデ　スムヨーナ　コッジャネーワ　…　タイカクワイーデエー|あの　体格では　もう　あの　酒で　何すれば　それで　済むような　事ではないよ　体格はいいからね
0334901|Ｃ|タイカカー　イーカ゜ネー|体格は　良いがね
0334902|Ｂ|ナニシロ　サケカ゜　スキデ|なにしろ　酒が　好きで
